                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1242,                0.61027,                  1.215,                0.94695,                 0.9571,                  0.967,                0.67543,                0.90657,                0.44311,                  1.034,               0.003331,               0.003331,               0.003331
                      2,                 1.1322,                0.62612,                 1.2198,                0.95057,                0.95629,                0.96607,                 0.6637,                0.93178,                0.67095,                 1.0594,              0.0066423,              0.0066423,              0.0066423
                      3,                 1.1761,                0.66167,                 1.2437,                0.93142,                0.94091,                0.96175,                0.63212,                0.99327,                0.76776,                 1.1134,              0.0099316,              0.0099316,              0.0099316
                      4,                 1.2284,                0.73119,                 1.2759,                0.93202,                0.94323,                 0.9581,                0.62613,                 1.0135,                0.65327,                 1.1236,               0.009901,               0.009901,               0.009901
                      5,                 1.2286,                0.73515,                 1.2757,                 0.9399,                0.95144,                0.96141,                0.62782,                 1.0206,                0.54629,                  1.127,               0.009901,               0.009901,               0.009901
                      6,                 1.2379,                 0.7349,                 1.2803,                0.93165,                 0.9482,                0.95585,                0.62248,                 1.0081,                0.80461,                 1.1211,               0.009868,               0.009868,               0.009868
                      7,                 1.2359,                0.73924,                 1.2785,                0.94385,                0.92877,                0.95517,                0.61874,                 1.0377,                0.56977,                 1.1438,               0.009835,               0.009835,               0.009835
                      8,                  1.227,                0.73203,                 1.2746,                0.94204,                0.94213,                0.96264,                0.62132,                 1.0283,                0.56324,                 1.1306,               0.009802,               0.009802,               0.009802
                      9,                 1.2283,                0.73499,                 1.2803,                 0.9346,                0.95548,                0.96171,                0.62104,                 1.0232,                0.88493,                 1.1307,               0.009769,               0.009769,               0.009769
                     10,                 1.2251,                0.72668,                 1.2758,                0.93579,                0.93849,                0.95754,                 0.6314,                 1.0131,                 0.6171,                 1.1223,               0.009736,               0.009736,               0.009736
                     11,                 1.2341,                0.73137,                 1.2728,                0.94092,                0.94253,                 0.9615,                0.63124,                 1.0087,                0.66085,                 1.1195,               0.009703,               0.009703,               0.009703
                     12,                 1.2143,                0.71816,                 1.2664,                 0.9377,                0.94456,                0.95774,                0.63383,                0.99788,                0.62054,                 1.1086,                0.00967,                0.00967,                0.00967
                     13,                 1.2184,                0.72199,                 1.2661,                0.94761,                0.95161,                0.96479,                0.64216,                0.99566,                 0.5328,                 1.0988,               0.009637,               0.009637,               0.009637
                     14,                 1.2194,                0.71843,                 1.2694,                0.94825,                0.94415,                0.96374,                0.64031,                0.99469,                 0.5058,                  1.113,               0.009604,               0.009604,               0.009604
                     15,                 1.2138,                0.71848,                 1.2668,                0.94208,                0.95386,                0.96336,                0.64205,                0.98486,                 0.5619,                 1.0955,               0.009571,               0.009571,               0.009571
                     16,                  1.211,                0.71504,                 1.2656,                0.94261,                 0.9486,                0.95919,                0.63943,                0.99467,                0.50893,                  1.095,               0.009538,               0.009538,               0.009538
                     17,                 1.2119,                0.71083,                 1.2663,                0.94522,                0.94699,                0.96454,                0.64391,                0.98394,                0.52113,                 1.0947,               0.009505,               0.009505,               0.009505
                     18,                 1.2111,                0.70455,                 1.2642,                0.94202,                0.95334,                0.96317,                0.64002,                0.98117,                0.57437,                 1.0932,               0.009472,               0.009472,               0.009472
                     19,                 1.2042,                0.70672,                 1.2585,                0.94387,                0.95306,                0.96176,                0.64735,                0.96447,                0.56565,                  1.083,               0.009439,               0.009439,               0.009439
                     20,                 1.2086,                0.70696,                  1.261,                0.94977,                 0.9565,                0.96755,                0.64997,                0.97791,                0.57354,                 1.0861,               0.009406,               0.009406,               0.009406
                     21,                 1.2017,                0.70698,                 1.2563,                 0.9493,                0.95548,                0.96575,                0.65738,                0.95053,                 0.5188,                 1.0718,               0.009373,               0.009373,               0.009373
                     22,                 1.1988,                0.69821,                 1.2519,                0.95122,                0.95022,                0.96376,                0.65028,                0.95476,                0.51503,                 1.0734,                0.00934,                0.00934,                0.00934
                     23,                  1.195,                0.70058,                  1.257,                0.94977,                0.95644,                 0.9663,                0.65709,                 0.9474,                0.48024,                 1.0718,               0.009307,               0.009307,               0.009307
                     24,                 1.1936,                0.69927,                 1.2485,                0.94346,                0.95887,                 0.9619,                0.65394,                0.94966,                0.48993,                 1.0699,               0.009274,               0.009274,               0.009274
                     25,                 1.1908,                 0.6955,                 1.2485,                0.94216,                0.95103,                0.96035,                0.65112,                0.94694,                0.51614,                 1.0696,               0.009241,               0.009241,               0.009241
                     26,                  1.192,                0.69609,                 1.2511,                0.94131,                0.96065,                0.96293,                0.65773,                0.94805,                0.50652,                 1.0701,               0.009208,               0.009208,               0.009208
                     27,                 1.1855,                0.68698,                 1.2477,                0.94931,                0.95548,                0.96467,                0.65901,                0.94272,                0.47762,                 1.0671,               0.009175,               0.009175,               0.009175
                     28,                 1.1901,                0.69342,                 1.2519,                0.95008,                0.95504,                0.96391,                0.65963,                0.95096,                0.48113,                 1.0748,               0.009142,               0.009142,               0.009142
                     29,                  1.185,                0.69542,                 1.2498,                0.94698,                0.95832,                 0.9645,                0.66498,                0.94046,                0.47465,                 1.0663,               0.009109,               0.009109,               0.009109
                     30,                 1.1834,                0.68692,                 1.2517,                0.94855,                0.95497,                0.96603,                0.66715,                0.93924,                0.47402,                 1.0668,               0.009076,               0.009076,               0.009076
                     31,                 1.1934,                0.69436,                 1.2503,                0.95021,                0.95772,                0.97034,                0.66935,                0.93547,                0.44884,                 1.0647,               0.009043,               0.009043,               0.009043
