                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1478,                0.68243,                 1.2601,                 0.9379,                0.93519,                0.96073,                0.63107,                 0.8818,                0.49831,                0.98089,              0.0033323,              0.0033323,              0.0033323
                      2,                 1.1712,                0.70229,                 1.2691,                0.93612,                0.91933,                0.95657,                0.62438,                0.89788,                0.53407,                0.99361,              0.0066437,              0.0066437,              0.0066437
                      3,                 1.2401,                0.78279,                 1.3108,                0.94131,                0.88023,                0.94257,                0.59743,                 0.9409,                0.56627,                 1.0271,               0.009933,               0.009933,               0.009933
                      4,                 1.3071,                 0.8761,                 1.3574,                0.93434,                0.89662,                0.94365,                0.59005,                0.95236,                0.79046,                 1.0397,               0.009901,               0.009901,               0.009901
                      5,                 1.3202,                0.88676,                 1.3694,                0.92298,                 0.9048,                0.94684,                0.59947,                0.94974,                0.65253,                 1.0417,               0.009901,               0.009901,               0.009901
                      6,                 1.3186,                 0.8914,                  1.364,                0.93222,                0.90277,                0.94718,                0.60149,                0.93131,                0.64498,                  1.025,               0.009868,               0.009868,               0.009868
                      7,                 1.3181,                0.89157,                 1.3676,                0.93642,                0.90404,                0.95051,                0.60473,                0.93482,                0.63804,                 1.0285,               0.009835,               0.009835,               0.009835
                      8,                 1.3175,                0.89202,                  1.367,                0.93585,                0.90728,                0.95089,                0.61444,                0.91568,                0.60628,                 1.0081,               0.009802,               0.009802,               0.009802
                      9,                 1.3178,                0.88752,                  1.367,                0.93987,                0.90421,                0.95391,                0.61318,                0.92127,                0.64455,                 1.0141,               0.009769,               0.009769,               0.009769
                     10,                 1.3123,                0.88521,                 1.3607,                0.93126,                0.91254,                0.95498,                0.61729,                0.90837,                0.60996,                 1.0035,               0.009736,               0.009736,               0.009736
                     11,                 1.3098,                0.88335,                 1.3578,                0.93627,                0.91092,                0.95578,                0.62371,                 0.8912,                0.63503,                 0.9952,               0.009703,               0.009703,               0.009703
                     12,                 1.3099,                0.88403,                 1.3566,                0.93754,                0.91733,                0.95744,                0.62512,                0.89612,                0.62956,                0.99214,                0.00967,                0.00967,                0.00967
                     13,                  1.312,                0.87914,                  1.359,                0.93416,                0.92314,                0.95813,                0.62435,                0.90229,                0.62145,                0.99841,               0.009637,               0.009637,               0.009637
                     14,                 1.3054,                0.87821,                 1.3561,                0.92758,                0.93047,                0.95686,                0.62459,                0.90222,                0.62562,                 1.0006,               0.009604,               0.009604,               0.009604
                     15,                 1.3104,                0.87791,                 1.3607,                0.93249,                0.93102,                0.95909,                0.62721,                0.89822,                0.63365,                0.99912,               0.009571,               0.009571,               0.009571
                     16,                 1.3026,                0.87661,                 1.3535,                0.93484,                0.93047,                0.96085,                0.62925,                0.89857,                0.62888,                0.99576,               0.009538,               0.009538,               0.009538
                     17,                 1.2996,                0.87168,                  1.354,                0.93547,                0.92966,                0.96062,                0.63016,                0.89477,                0.63141,                0.99314,               0.009505,               0.009505,               0.009505
                     18,                 1.3072,                0.87286,                 1.3555,                 0.9358,                0.92803,                0.96054,                0.63048,                0.89493,                0.62008,                 0.9932,               0.009472,               0.009472,               0.009472
