                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2611,                0.83666,                 1.3617,                0.92782,                0.86936,                0.93335,                0.57944,                0.95197,                0.68974,                 1.0569,              0.0033323,              0.0033323,              0.0033323
                      2,                 1.2755,                0.84565,                 1.3641,                0.93506,                 0.8623,                0.92865,                0.57144,                0.96804,                0.80525,                 1.0694,              0.0066437,              0.0066437,              0.0066437
                      3,                 1.3351,                0.92386,                 1.3965,                0.91111,                0.84068,                0.91082,                0.55345,                 1.0007,                 0.8747,                 1.0942,               0.009933,               0.009933,               0.009933
                      4,                 1.3825,                  1.003,                 1.4348,                0.92774,                0.84038,                 0.9121,                0.55265,                 0.9906,                0.80269,                 1.0953,               0.009901,               0.009901,               0.009901
                      5,                 1.3877,                      1,                  1.439,                0.91814,                0.85596,                0.91754,                0.55422,                0.98925,                0.86136,                 1.0887,               0.009901,               0.009901,               0.009901
                      6,                 1.3749,                0.98966,                 1.4271,                0.92065,                0.86448,                0.92728,                0.56998,                0.96988,                0.82505,                 1.0728,               0.009868,               0.009868,               0.009868
                      7,                  1.372,                0.97775,                 1.4289,                0.92737,                0.86349,                0.93108,                0.57505,                0.96278,                0.70341,                 1.0629,               0.009835,               0.009835,               0.009835
                      8,                 1.3662,                0.98184,                 1.4234,                0.92956,                0.87089,                0.93314,                0.58388,                0.95431,                0.77064,                 1.0522,               0.009802,               0.009802,               0.009802
                      9,                 1.3635,                0.96692,                  1.418,                0.92779,                0.87806,                0.93743,                0.58711,                0.95184,                0.74327,                  1.053,               0.009769,               0.009769,               0.009769
                     10,                 1.3603,                0.96203,                 1.4137,                0.92665,                0.88521,                0.93752,                0.58999,                0.94701,                0.75787,                 1.0488,               0.009736,               0.009736,               0.009736
                     11,                 1.3532,                0.95876,                 1.4079,                0.93408,                0.88783,                0.94217,                0.59621,                0.93193,                0.71773,                 1.0362,               0.009703,               0.009703,               0.009703
                     12,                 1.3535,                0.95166,                 1.4107,                0.93683,                0.88213,                0.94337,                0.59864,                0.92835,                0.69133,                 1.0353,                0.00967,                0.00967,                0.00967
                     13,                 1.3496,                0.94356,                 1.4055,                0.93896,                0.88158,                0.94151,                0.59709,                0.92952,                0.72654,                 1.0394,               0.009637,               0.009637,               0.009637
                     14,                 1.3444,                0.93949,                 1.4021,                0.93915,                0.88729,                0.94528,                 0.6006,                0.92685,                0.75874,                 1.0341,               0.009604,               0.009604,               0.009604
                     15,                  1.352,                0.94365,                 1.4121,                0.93228,                0.89362,                0.94584,                 0.6041,                0.92457,                0.74475,                 1.0328,               0.009571,               0.009571,               0.009571
                     16,                 1.3418,                0.93817,                 1.4012,                0.93574,                0.89163,                0.94635,                0.60447,                0.92538,                0.73621,                 1.0314,               0.009538,               0.009538,               0.009538
                     17,                 1.3376,                0.92867,                  1.399,                  0.935,                0.89218,                0.94738,                0.60521,                0.92495,                0.72116,                 1.0309,               0.009505,               0.009505,               0.009505
                     18,                 1.3428,                0.93296,                 1.3963,                0.93456,                0.89544,                0.94995,                0.60818,                0.92241,                0.72523,                 1.0299,               0.009472,               0.009472,               0.009472
                     19,                 1.3418,                0.93032,                 1.3921,                0.93186,                0.89924,                0.95068,                0.60955,                0.91932,                 0.7356,                 1.0279,               0.009439,               0.009439,               0.009439
                     20,                 1.3347,                  0.928,                 1.3947,                0.93311,                0.89978,                0.95029,                0.60982,                0.91796,                0.73266,                 1.0265,               0.009406,               0.009406,               0.009406
                     21,                 1.3405,                0.92249,                 1.3921,                 0.9324,                0.89897,                0.95054,                0.61013,                0.91681,                  0.727,                  1.025,               0.009373,               0.009373,               0.009373
                     22,                 1.3304,                0.92365,                 1.3907,                 0.9317,                0.90087,                0.95071,                0.61006,                0.91596,                 0.7219,                 1.0241,                0.00934,                0.00934,                0.00934
                     23,                 1.3303,                0.91659,                 1.3868,                0.93474,                0.89856,                0.95073,                0.61102,                0.91499,                0.71195,                 1.0232,               0.009307,               0.009307,               0.009307
