                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5745,                 3.1138,                 1.3687,                0.68839,                0.62669,                0.67613,                0.33434,                 1.2727,                 10.154,                 1.3183,              0.0033271,              0.0033271,              0.0033271
                      2,                 1.5976,                  1.738,                 1.3971,                0.72462,                  0.683,                 0.7212,                0.36005,                 1.3284,                 3.1424,                  1.343,              0.0066385,              0.0066385,              0.0066385
                      3,                 1.6994,                 1.6335,                 1.5065,                0.60349,                0.48488,                0.51829,                0.23397,                 1.5252,                 4.0508,                  1.593,              0.0099278,              0.0099278,              0.0099278
                      4,                 1.7995,                 1.6785,                 1.5875,                0.65229,                0.68405,                0.65596,                0.29999,                 1.4138,                 5.3541,                 1.4459,               0.009901,               0.009901,               0.009901
                      5,                 1.7479,                 1.5353,                 1.5656,                0.70468,                0.70594,                0.69793,                0.33535,                 1.3754,                 4.1308,                  1.411,               0.009901,               0.009901,               0.009901
                      6,                 1.6856,                 1.4562,                 1.5395,                0.72109,                0.66528,                 0.6992,                0.33806,                 1.3595,                 2.0325,                 1.3817,               0.009868,               0.009868,               0.009868
                      7,                 1.6807,                 1.3972,                 1.5167,                0.79157,                0.70699,                0.76819,                0.37828,                 1.3346,                 1.5414,                 1.3919,               0.009835,               0.009835,               0.009835
                      8,                 1.6485,                 1.3268,                 1.4944,                0.76722,                 0.7487,                 0.7692,                0.37212,                  1.321,                 2.5717,                   1.37,               0.009802,               0.009802,               0.009802
                      9,                 1.6334,                 1.2893,                 1.4945,                0.78327,                0.74994,                0.78709,                0.39649,                  1.306,                 2.3784,                 1.3457,               0.009769,               0.009769,               0.009769
                     10,                 1.6107,                 1.2492,                 1.4776,                0.79689,                0.79369,                0.80135,                0.41225,                 1.3188,                  2.344,                 1.3555,               0.009736,               0.009736,               0.009736
                     11,                 1.5887,                 1.2219,                 1.4661,                0.79182,                0.79324,                0.80007,                0.41344,                 1.2554,                 1.6355,                  1.337,               0.009703,               0.009703,               0.009703
                     12,                 1.5693,                 1.1658,                 1.4387,                0.77711,                0.80348,                0.79957,                0.42734,                 1.2604,                  1.665,                 1.2928,                0.00967,                0.00967,                0.00967
                     13,                 1.5469,                 1.1851,                 1.4295,                0.77427,                0.79759,                0.80305,                0.42407,                 1.2833,                 1.4971,                 1.3375,               0.009637,               0.009637,               0.009637
                     14,                 1.5426,                 1.1452,                 1.4246,                 0.8273,                0.82065,                0.85012,                0.46824,                 1.2194,                 1.1887,                 1.2735,               0.009604,               0.009604,               0.009604
                     15,                 1.5312,                  1.137,                 1.4194,                0.80341,                0.81335,                0.82057,                  0.436,                 1.2615,                 1.1779,                 1.2904,               0.009571,               0.009571,               0.009571
                     16,                 1.5213,                 1.1135,                 1.4078,                0.82137,                0.82273,                0.84049,                0.46375,                  1.216,                  1.457,                 1.2519,               0.009538,               0.009538,               0.009538
                     17,                 1.5275,                 1.1091,                  1.405,                0.82224,                0.79979,                0.84165,                0.45554,                 1.2442,                 1.1768,                 1.2597,               0.009505,               0.009505,               0.009505
                     18,                 1.5092,                 1.0762,                 1.3866,                 0.8274,                0.81335,                 0.8379,                  0.461,                 1.2103,                 1.2407,                  1.256,               0.009472,               0.009472,               0.009472
                     19,                 1.4942,                 1.0706,                 1.3905,                0.82568,                0.83107,                0.85501,                0.47004,                 1.2272,                  1.392,                  1.262,               0.009439,               0.009439,               0.009439
                     20,                 1.4795,                 1.0601,                 1.3806,                0.82191,                0.79562,                0.85135,                0.45508,                 1.2052,                 1.0839,                  1.239,               0.009406,               0.009406,               0.009406
                     21,                 1.4768,                  1.047,                 1.3742,                0.84833,                0.81654,                0.87004,                0.48427,                 1.1843,                 1.2083,                 1.2252,               0.009373,               0.009373,               0.009373
                     22,                 1.4829,                 1.0423,                  1.381,                 0.8215,                0.83629,                0.86483,                0.48081,                 1.2175,                 1.2637,                 1.2499,                0.00934,                0.00934,                0.00934
                     23,                 1.4698,                 1.0282,                 1.3709,                0.82223,                0.83107,                0.85436,                0.46752,                 1.1942,                 1.5875,                 1.2503,               0.009307,               0.009307,               0.009307
                     24,                 1.4581,                 1.0168,                 1.3684,                0.83234,                 0.8438,                0.86714,                0.47757,                 1.1518,                 1.4537,                 1.2001,               0.009274,               0.009274,               0.009274
                     25,                 1.4508,                 1.0118,                 1.3631,                0.83415,                0.84984,                0.88011,                0.49965,                 1.1904,                  1.016,                  1.229,               0.009241,               0.009241,               0.009241
                     26,                 1.4575,                0.99869,                 1.3632,                0.84451,                0.86083,                0.88191,                0.51092,                 1.1943,                 1.0439,                 1.2201,               0.009208,               0.009208,               0.009208
                     27,                 1.4509,                 1.0125,                 1.3481,                0.82501,                0.84984,                0.87745,                0.49204,                 1.1683,                 1.3835,                 1.2139,               0.009175,               0.009175,               0.009175
                     28,                  1.436,                0.99351,                   1.35,                0.83957,                0.84046,                0.88827,                0.50965,                 1.1819,                  0.985,                 1.2313,               0.009142,               0.009142,               0.009142
                     29,                 1.4288,                0.98521,                 1.3421,                0.84975,                0.83746,                0.87701,                 0.4984,                 1.1983,                 1.0101,                 1.2349,               0.009109,               0.009109,               0.009109
                     30,                 1.4462,                0.96786,                 1.3496,                 0.8419,                0.83844,                0.88323,                0.51599,                 1.1354,                0.89168,                 1.1777,               0.009076,               0.009076,               0.009076
                     31,                 1.4312,                0.96421,                 1.3339,                 0.8304,                0.85401,                0.87807,                0.50453,                 1.1505,                 1.1079,                 1.2017,               0.009043,               0.009043,               0.009043
                     32,                 1.3991,                 0.9674,                 1.3329,                0.83956,                0.84672,                0.88727,                0.51085,                 1.1561,                0.91673,                 1.2051,                0.00901,                0.00901,                0.00901
                     33,                 1.4067,                 0.9547,                 1.3291,                0.83263,                0.85923,                0.88755,                0.52548,                 1.1547,                0.85316,                 1.1805,               0.008977,               0.008977,               0.008977
                     34,                 1.4027,                 0.9377,                 1.3239,                0.85231,                0.84567,                0.87709,                0.51203,                 1.1394,                 0.9389,                 1.1905,               0.008944,               0.008944,               0.008944
                     35,                  1.402,                0.93853,                 1.3274,                0.85822,                0.87696,                0.89156,                0.52646,                  1.129,                0.89449,                 1.1752,               0.008911,               0.008911,               0.008911
                     36,                 1.4077,                0.92284,                 1.3271,                0.85392,                0.87487,                0.90378,                0.52775,                 1.1241,                  1.002,                 1.1708,               0.008878,               0.008878,               0.008878
                     37,                  1.405,                0.92761,                 1.3253,                0.85247,                0.86861,                0.88701,                0.51915,                  1.119,                 1.0305,                   1.16,               0.008845,               0.008845,               0.008845
                     38,                 1.4034,                0.93316,                 1.3294,                0.84945,                0.86966,                0.89571,                 0.5238,                 1.1268,                 1.0168,                 1.1694,               0.008812,               0.008812,               0.008812
                     39,                 1.4056,                0.92565,                 1.3195,                0.85741,                0.84984,                0.90037,                0.52769,                 1.1418,                 0.8474,                 1.1906,               0.008779,               0.008779,               0.008779
                     40,                 1.3931,                 0.9107,                 1.3207,                0.82597,                0.88008,                 0.8861,                0.52439,                 1.1348,                0.96734,                  1.197,               0.008746,               0.008746,               0.008746
                     41,                 1.3728,                0.90666,                  1.313,                0.85501,                0.86653,                0.88971,                0.53922,                 1.1224,                0.89421,                 1.1656,               0.008713,               0.008713,               0.008713
                     42,                 1.3683,                0.89799,                 1.3041,                0.85737,                0.86444,                0.89855,                0.53357,                 1.1239,                0.99109,                 1.1651,                0.00868,                0.00868,                0.00868
                     43,                 1.3759,                0.90835,                 1.3144,                0.87481,                0.84567,                0.89841,                 0.5326,                 1.1455,                0.90087,                 1.1799,               0.008647,               0.008647,               0.008647
                     44,                 1.3671,                0.88383,                 1.3073,                0.85703,                0.87509,                0.90354,                0.54177,                 1.0986,                0.83688,                 1.1551,               0.008614,               0.008614,               0.008614
                     45,                 1.3759,                0.89791,                 1.2975,                0.87404,                0.87553,                0.90795,                0.54078,                 1.1233,                0.88053,                 1.1541,               0.008581,               0.008581,               0.008581
