                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1134,                0.64994,                 1.2312,                0.95048,                0.94106,                0.96782,                0.64694,                0.86145,                0.46606,                0.95568,              0.0033323,              0.0033323,              0.0033323
                      2,                 1.1401,                0.66847,                 1.2371,                0.94115,                0.93382,                0.96292,                0.63511,                0.88829,                0.49275,                0.97467,              0.0066437,              0.0066437,              0.0066437
                      3,                 1.2134,                0.75142,                  1.284,                0.94333,                0.90223,                0.95206,                0.60772,                0.92783,                0.59623,                 1.0044,               0.009933,               0.009933,               0.009933
                      4,                 1.2874,                0.85152,                 1.3332,                0.93713,                0.90331,                0.94826,                0.59773,                0.95179,                0.68543,                  1.026,               0.009901,               0.009901,               0.009901
                      5,                  1.302,                0.86846,                 1.3451,                 0.9326,                0.91581,                0.95063,                0.60597,                0.93487,                0.58439,                 1.0152,               0.009901,               0.009901,               0.009901
                      6,                 1.2991,                0.86302,                  1.341,                0.93058,                0.92105,                0.95408,                0.61294,                0.92237,                 0.6481,                 1.0048,               0.009868,               0.009868,               0.009868
                      7,                 1.3024,                0.86783,                 1.3451,                0.92991,                0.91526,                0.95305,                0.61463,                0.91529,                0.59028,                 1.0043,               0.009835,               0.009835,               0.009835
                      8,                 1.2994,                0.87156,                 1.3433,                0.93571,                0.91472,                0.95617,                0.61609,                0.91366,                0.60434,                 1.0003,               0.009802,               0.009802,               0.009802
                      9,                 1.3002,                0.86769,                 1.3439,                0.92733,                0.92803,                0.95853,                0.62457,                0.91037,                0.57277,                0.99213,               0.009769,               0.009769,               0.009769
                     10,                 1.2994,                0.86265,                 1.3396,                0.93884,                 0.9089,                 0.9563,                0.62476,                0.89421,                0.54829,                0.98315,               0.009736,               0.009736,               0.009736
                     11,                 1.2954,                0.85646,                 1.3373,                0.93273,                0.92694,                0.95981,                0.62989,                0.88925,                0.54685,                0.97857,               0.009703,               0.009703,               0.009703
                     12,                 1.2972,                0.85785,                 1.3386,                0.94402,                0.91445,                0.95963,                0.63113,                0.88481,                0.53508,                0.97576,                0.00967,                0.00967,                0.00967
                     13,                 1.2966,                0.85532,                 1.3385,                0.93523,                 0.9264,                0.95954,                0.63228,                0.87821,                0.55636,                0.97272,               0.009637,               0.009637,               0.009637
                     14,                  1.292,                0.85253,                 1.3397,                0.93601,                 0.9359,                0.96118,                0.63433,                0.87702,                0.56952,                0.97378,               0.009604,               0.009604,               0.009604
                     15,                 1.2962,                0.85196,                 1.3402,                0.93392,                0.93292,                0.96028,                0.63394,                0.88058,                0.59113,                0.97815,               0.009571,               0.009571,               0.009571
